年月,customer_id,count_0,count_1,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,max,min,routine_flg,calc_date,membership_period,exit_date,period
201811,OA802798,5,6.0,XX,C01,F,2018-05-03,,CA2,0.0,オールタイム,10500.0,入会費半額,7.1818181818181825,8.0,9.0,3.0,1.0,2019-04-30,11.0,,0
201812,TS977703,7,5.0,XX,C01,M,2018-04-15,,CA3,0.0,オールタイム,10500.0,入会費無料,7.0,7.5,8.0,4.0,1.0,2019-04-30,12.0,,0
201805,HI559946,3,7.0,XXXXX,C01,F,2016-05-01,,CA1,0.0,オールタイム,10500.0,通常,4.5,5.0,7.0,2.0,1.0,2019-04-30,35.0,,0
201808,HI275161,6,5.0,XXXXXX,C01,M,2016-12-01,,CA1,0.0,オールタイム,10500.0,通常,5.083333333333333,5.0,7.0,3.0,1.0,2019-04-30,28.0,,0
201805,IK886752,3,5.0,XXXX,C03,M,2015-09-01,,CA1,0.0,ナイト,6000.0,通常,5.25,5.0,7.0,3.0,1.0,2019-04-30,43.0,,0
201806,PL089782,4,7.0,XXXX,C01,F,2016-08-01,,CA1,0.0,オールタイム,10500.0,通常,4.583333333333333,5.0,7.0,2.0,1.0,2019-04-30,32.0,,0
201809,HD052411,2,3.0,XXXXXX,C01,M,2015-12-01,,CA1,0.0,オールタイム,10500.0,通常,3.75,3.0,6.0,2.0,1.0,2019-04-30,40.0,,0
201812,IK794489,6,5.0,XXX,C02,F,2017-06-01,,CA1,0.0,デイタイム,7500.0,通常,5.833333333333332,6.0,8.0,4.0,1.0,2019-04-30,22.0,,0
201901,HI557133,6,7.0,XXXXXX,C01,M,2017-03-01,,CA1,0.0,オールタイム,10500.0,通常,6.083333333333332,6.0,8.0,4.0,1.0,2019-04-30,25.0,,0
201805,GD323300,5,4.0,XXX,C02,F,2017-03-01,,CA1,0.0,デイタイム,7500.0,通常,5.0,5.0,8.0,3.0,1.0,2019-04-30,25.0,,0
201903,AS654955,6,8.0,XX,C03,M,2019-01-03,,CA1,0.0,ナイト,6000.0,通常,7.666666666666668,8.0,9.0,6.0,1.0,2019-04-30,3.0,,0
201902,PL046622,2,3.0,XXXXX,C01,F,2015-11-01,,CA1,0.0,オールタイム,10500.0,通常,5.25,5.5,9.0,1.0,1.0,2019-04-30,41.0,,0
201807,HD165212,7,6.0,XXXX,C03,M,2017-01-01,,CA1,0.0,ナイト,6000.0,通常,5.25,5.5,9.0,2.0,1.0,2019-04-30,27.0,,0
201810,TS209540,10,,XXXX,C03,F,2018-10-11,,CA1,0.0,ナイト,6000.0,通常,8.166666666666666,8.5,10.0,6.0,1.0,2019-04-30,6.0,,0
201902,GD008122,9,7.0,XXXX,C01,F,2018-11-02,,CA1,0.0,オールタイム,10500.0,通常,8.4,8.0,10.0,7.0,1.0,2019-04-30,5.0,,0
201805,PL907890,6,4.0,XXXXXX,C01,F,2017-03-01,,CA1,0.0,オールタイム,10500.0,通常,5.75,6.0,9.0,2.0,1.0,2019-04-30,25.0,,0
201903,HI835158,5,4.0,XXXXX,C03,M,2017-02-01,,CA1,0.0,ナイト,6000.0,通常,5.0,5.0,8.0,2.0,1.0,2019-04-30,26.0,,0
201901,TS578065,5,6.0,XXX,C01,M,2016-09-01,,CA1,0.0,オールタイム,10500.0,通常,4.333333333333333,4.5,7.0,1.0,1.0,2019-04-30,31.0,,0
201903,HD210141,5,5.0,XXXXXX,C01,F,2017-02-01,,CA1,0.0,オールタイム,10500.0,通常,5.833333333333332,5.5,8.0,4.0,1.0,2019-04-30,26.0,,0
201902,IK669065,7,7.0,XXX,C02,M,2018-03-01,,CA1,0.0,デイタイム,7500.0,通常,7.25,7.0,9.0,6.0,1.0,2019-04-30,13.0,,0
201808,HI461906,9,,XXXXX,C01,M,2018-08-02,,CA1,0.0,オールタイム,10500.0,通常,8.625,8.5,12.0,7.0,1.0,2019-04-30,8.0,,0
201901,PL587969,4,4.0,XXXX,C01,F,2016-10-01,,CA1,0.0,オールタイム,10500.0,通常,5.0,5.0,8.0,2.0,1.0,2019-04-30,30.0,,0
201806,AS984922,5,6.0,XXXXX,C02,M,2017-05-01,,CA1,0.0,デイタイム,7500.0,通常,5.583333333333332,5.5,7.0,4.0,1.0,2019-04-30,23.0,,0
201805,OA855863,9,7.0,XX,C01,M,2017-12-01,,CA3,0.0,オールタイム,10500.0,入会費無料,6.5,7.0,9.0,2.0,1.0,2019-04-30,16.0,,0
201812,TS621030,5,5.0,XXXX,C02,F,2015-09-01,,CA1,0.0,デイタイム,7500.0,通常,3.9166666666666665,4.0,5.0,2.0,1.0,2019-04-30,43.0,,0
201903,HI233749,3,6.0,XXXX,C01,M,2016-08-01,,CA1,0.0,オールタイム,10500.0,通常,4.833333333333333,5.0,7.0,2.0,1.0,2019-04-30,32.0,,0
201810,HI234332,8,8.0,XXXX,C02,M,2018-09-02,,CA1,0.0,デイタイム,7500.0,通常,7.7142857142857135,8.0,9.0,6.0,1.0,2019-04-30,7.0,,0
201808,GD691243,5,2.0,XXXX,C02,M,2017-02-01,,CA1,0.0,デイタイム,7500.0,通常,5.583333333333332,5.5,10.0,2.0,1.0,2019-04-30,26.0,,0
201806,IK890445,8,4.0,XXXX,C01,M,2016-01-01,,CA1,0.0,オールタイム,10500.0,通常,5.0,4.5,9.0,2.0,1.0,2019-04-30,39.0,,0
201902,GD979485,6,6.0,XXXXX,C01,M,2017-09-01,,CA1,0.0,オールタイム,10500.0,通常,5.583333333333332,5.5,7.0,4.0,1.0,2019-04-30,19.0,,0
201903,HD722558,5,5.0,XXX,C01,M,2017-10-01,,CA1,0.0,オールタイム,10500.0,通常,6.75,6.5,11.0,5.0,1.0,2019-04-30,18.0,,0
201811,AS941998,9,6.0,XXXXX,C03,F,2017-06-01,,CA1,0.0,ナイト,6000.0,通常,5.75,5.5,9.0,3.0,1.0,2019-04-30,22.0,,0
201903,AS988921,5,4.0,XXXXX,C02,M,2016-10-01,,CA1,0.0,デイタイム,7500.0,通常,5.666666666666668,5.5,9.0,3.0,1.0,2019-04-30,30.0,,0
201810,HI244067,5,3.0,XX,C01,F,2016-01-01,,CA1,0.0,オールタイム,10500.0,通常,4.166666666666667,4.0,7.0,1.0,1.0,2019-04-30,39.0,,0
201808,PL166709,5,6.0,XXXXX,C02,F,2017-11-01,,CA1,0.0,デイタイム,7500.0,通常,5.833333333333332,6.0,8.0,3.0,1.0,2019-04-30,17.0,,0
201901,OA628170,7,1.0,XXX,C03,F,2015-09-01,,CA1,0.0,ナイト,6000.0,通常,4.666666666666667,5.0,8.0,1.0,1.0,2019-04-30,43.0,,0
201812,TS985617,9,8.0,XXXX,C01,M,2018-09-12,,CA1,0.0,オールタイム,10500.0,通常,9.142857142857142,9.0,10.0,8.0,1.0,2019-04-30,7.0,,0
201902,OA963366,5,5.0,XXXXXX,C02,F,2017-03-01,,CA1,0.0,デイタイム,7500.0,通常,5.666666666666668,5.0,9.0,2.0,1.0,2019-04-30,25.0,,0
201808,AS636570,6,5.0,XXXXX,C01,M,2017-11-01,,CA1,0.0,オールタイム,10500.0,通常,6.25,7.0,9.0,3.0,1.0,2019-04-30,17.0,,0
201812,OA181958,9,9.0,XXXXXX,C01,F,2017-12-01,,CA3,0.0,オールタイム,10500.0,入会費無料,7.416666666666668,7.5,9.0,4.0,1.0,2019-04-30,16.0,,0
201810,AS756586,7,6.0,XX,C03,M,2016-03-01,,CA1,0.0,ナイト,6000.0,通常,4.833333333333333,5.5,7.0,2.0,1.0,2019-04-30,37.0,,0
201808,TS448652,10,,XXXXX,C01,F,2018-08-06,,CA1,0.0,オールタイム,10500.0,通常,7.375,7.5,10.0,5.0,1.0,2019-04-30,8.0,,0
201809,HI150416,6,6.0,XXX,C03,F,2016-04-01,,CA1,0.0,ナイト,6000.0,通常,5.25,6.0,8.0,2.0,1.0,2019-04-30,36.0,,0
